
(1)3D array has axis 3 with shape (121, 121, 121) and has 1771561 Voxcels

(2)Resolution -> 0.1
(3)step_distance -> 0.1
(4)fluid_diffusion_coefficient -> 2500.0 micro_meter^2/sec
(5)surface_relaxivity -> 20 micro_meter/sec
(6)radius -> 50 pixcels

===========
surface area is 470.7000000000001

=======
Volumen of sphere is --> 523.3050000000002


======
S/V = 0.8994754493077649
0|| T:6.666666666666668e-07 || F:1.0 || iteration time: 0.0005447864532470703 || diff : 0.0
196|| T:0.0001313333333333331 || F:0.996 || iteration time: 0.0002429485321044922 || diff : 0.002433228669731391
200|| T:0.00013399999999999976 || F:0.996 || iteration time: 0.00023937225341796875 || diff : 0.002401279317606364
204|| T:0.00013666666666666642 || F:0.996 || iteration time: 0.000240325927734375 || diff : 0.002369330987844198
208|| T:0.00013933333333333308 || F:0.996 || iteration time: 0.00024437904357910156 || diff : 0.0023373836804121417
212|| T:0.00014199999999999974 || F:0.996 || iteration time: 0.00023865699768066406 || diff : 0.0023054373952776652
216|| T:0.0001446666666666664 || F:0.996 || iteration time: 0.0002410411834716797 || diff : 0.002273492132408017
220|| T:0.00014733333333333306 || F:0.996 || iteration time: 0.00024199485778808594 || diff : 0.0022415478917703346
224|| T:0.00014999999999999972 || F:0.996 || iteration time: 0.000240325927734375 || diff : 0.0022096046733319774
228|| T:0.00015266666666666638 || F:0.996 || iteration time: 0.000244140625 || diff : 0.002177662477060305
232|| T:0.00015533333333333303 || F:0.996 || iteration time: 0.00024247169494628906 || diff : 0.0021457213029225652
236|| T:0.0001579999999999997 || F:0.996 || iteration time: 0.0002434253692626953 || diff : 0.002113781150886007
240|| T:0.00016066666666666635 || F:0.996 || iteration time: 0.0002434253692626953 || diff : 0.00208184202091799
244|| T:0.000163333333333333 || F:0.996 || iteration time: 0.00024199485778808594 || diff : 0.002049903912985762
248|| T:0.00016599999999999967 || F:0.996 || iteration time: 0.0002422332763671875 || diff : 0.002017966827056683
252|| T:0.00016866666666666633 || F:0.996 || iteration time: 0.0002415180206298828 || diff : 0.001986030763098001
256|| T:0.000171333333333333 || F:0.996 || iteration time: 0.00024271011352539062 || diff : 0.001954095721076965
260|| T:0.00017399999999999965 || F:0.996 || iteration time: 0.00024008750915527344 || diff : 0.0019221617009609338
264|| T:0.0001766666666666663 || F:0.996 || iteration time: 0.00024056434631347656 || diff : 0.001890228702717156
268|| T:0.00017933333333333297 || F:0.996 || iteration time: 0.00024080276489257812 || diff : 0.0018582967263131023
272|| T:0.00018199999999999963 || F:0.996 || iteration time: 0.00024008750915527344 || diff : 0.0018263657717157988
276|| T:0.00018466666666666629 || F:0.996 || iteration time: 0.00024175643920898438 || diff : 0.0017944358388927162
280|| T:0.00018733333333333294 || F:0.996 || iteration time: 0.00024080276489257812 || diff : 0.0017625069278112138
284|| T:0.0001899999999999996 || F:0.996 || iteration time: 0.00024580955505371094 || diff : 0.001730579038438429
288|| T:0.00019266666666666626 || F:0.996 || iteration time: 0.00024008750915527344 || diff : 0.0016986521707418323
292|| T:0.00019533333333333292 || F:0.996 || iteration time: 0.0002422332763671875 || diff : 0.001666726324688672
296|| T:0.00019799999999999958 || F:0.996 || iteration time: 0.0002453327178955078 || diff : 0.0016348015002461969
300|| T:0.00020066666666666624 || F:0.996 || iteration time: 0.0002391338348388672 || diff : 0.001602877697381766
304|| T:0.0002033333333333329 || F:0.996 || iteration time: 0.00024271011352539062 || diff : 0.001570954916062628
308|| T:0.00020599999999999956 || F:0.996 || iteration time: 0.00024056434631347656 || diff : 0.0015390331562562531
312|| T:0.00020866666666666622 || F:0.996 || iteration time: 0.00024271011352539062 || diff : 0.001507112417929779
316|| T:0.00021133333333333288 || F:0.996 || iteration time: 0.00024199485778808594 || diff : 0.001475192701050565
320|| T:0.00021399999999999954 || F:0.996 || iteration time: 0.00024318695068359375 || diff : 0.0014432740055859705
324|| T:0.0002166666666666662 || F:0.996 || iteration time: 0.00024509429931640625 || diff : 0.001411356331503355
328|| T:0.00021933333333333286 || F:0.996 || iteration time: 0.0002415180206298828 || diff : 0.001379439678769856
332|| T:0.00022199999999999951 || F:0.996 || iteration time: 0.00024437904357910156 || diff : 0.0013475240473529437
336|| T:0.00022466666666666617 || F:0.996 || iteration time: 0.000244140625 || diff : 0.0013156094372199778
340|| T:0.00022733333333333283 || F:0.996 || iteration time: 0.00024127960205078125 || diff : 0.0012836958483380956
344|| T:0.0002299999999999995 || F:0.996 || iteration time: 0.00024318695068359375 || diff : 0.0012517832806747675
348|| T:0.00023266666666666615 || F:0.996 || iteration time: 0.0002446174621582031 || diff : 0.001219871734197242
352|| T:0.0002353333333333328 || F:0.996 || iteration time: 0.0002455711364746094 || diff : 0.0011879612088728786
356|| T:0.00023799999999999947 || F:0.996 || iteration time: 0.00024008750915527344 || diff : 0.0011560517046690366
360|| T:0.00024066666666666613 || F:0.996 || iteration time: 0.00023984909057617188 || diff : 0.0011241432215528535
364|| T:0.0002433333333333328 || F:0.996 || iteration time: 0.00024175643920898438 || diff : 0.0010922357594919108
368|| T:0.0002459999999999995 || F:0.996 || iteration time: 0.00024366378784179688 || diff : 0.0010603293184534568
372|| T:0.00024866666666666613 || F:0.996 || iteration time: 0.0002434253692626953 || diff : 0.001028423898404629
376|| T:0.0002513333333333328 || F:0.996 || iteration time: 0.00023865699768066406 || diff : 0.0009965194993130089
380|| T:0.00025399999999999945 || F:0.996 || iteration time: 0.00024080276489257812 || diff : 0.0009646161211458448
384|| T:0.0002566666666666661 || F:0.996 || iteration time: 0.00024437904357910156 || diff : 0.0009327137638703853
388|| T:0.00025933333333333277 || F:0.996 || iteration time: 0.00024056434631347656 || diff : 0.0009008124274539897
392|| T:0.00026199999999999943 || F:0.996 || iteration time: 0.0002422332763671875 || diff : 0.0008689121118641285
396|| T:0.0002646666666666661 || F:0.996 || iteration time: 0.00024008750915527344 || diff : 0.0008370128170679392
400|| T:0.00026733333333333275 || F:0.996 || iteration time: 0.00023937225341796875 || diff : 0.0008051145430330031
404|| T:0.0002699999999999994 || F:0.996 || iteration time: 0.0002422332763671875 || diff : 0.0007732172897263467
408|| T:0.00027266666666666607 || F:0.996 || iteration time: 0.00024056434631347656 || diff : 0.0007413210571155515
412|| T:0.0002753333333333327 || F:0.996 || iteration time: 0.00024318695068359375 || diff : 0.0007094258451677549
416|| T:0.0002779999999999994 || F:0.996 || iteration time: 0.00024175643920898438 || diff : 0.0006775316538505383
420|| T:0.00028066666666666604 || F:0.996 || iteration time: 0.00024271011352539062 || diff : 0.0006456384831310391
424|| T:0.0002833333333333327 || F:0.996 || iteration time: 0.0002391338348388672 || diff : 0.0006137463329767279
428|| T:0.00028599999999999936 || F:0.996 || iteration time: 0.00023937225341796875 || diff : 0.000581855203354853
432|| T:0.000288666666666666 || F:0.996 || iteration time: 0.0002410411834716797 || diff : 0.0005499650942328849
436|| T:0.0002913333333333327 || F:0.996 || iteration time: 0.00024175643920898438 || diff : 0.000518076005577961
440|| T:0.00029399999999999934 || F:0.996 || iteration time: 0.0002410411834716797 || diff : 0.0004861879373575517
444|| T:0.000296666666666666 || F:0.996 || iteration time: 0.00024819374084472656 || diff : 0.0004543008895391276
448|| T:0.00029933333333333266 || F:0.996 || iteration time: 0.0002391338348388672 || diff : 0.00042241486208982604
452|| T:0.0003019999999999993 || F:0.996 || iteration time: 0.0002415180206298828 || diff : 0.00039052985497700643
456|| T:0.000304666666666666 || F:0.996 || iteration time: 0.00024247169494628906 || diff : 0.00035864586816813926
460|| T:0.00030733333333333264 || F:0.996 || iteration time: 0.00023984909057617188 || diff : 0.00032676290163058397
464|| T:0.0003099999999999993 || F:0.996 || iteration time: 0.00024247169494628906 || diff : 0.000294880955331589
468|| T:0.00031266666666666595 || F:0.996 || iteration time: 0.000244140625 || diff : 0.00026300002923851373
472|| T:0.0003153333333333326 || F:0.996 || iteration time: 0.000244140625 || diff : 0.0002311201233188287
476|| T:0.00031799999999999927 || F:0.996 || iteration time: 0.00024580955505371094 || diff : 0.0001992412375397823
480|| T:0.00032066666666666593 || F:0.996 || iteration time: 0.00025153160095214844 || diff : 0.00016736337186873396
484|| T:0.0003233333333333326 || F:0.996 || iteration time: 0.0002448558807373047 || diff : 0.00013548652627315416
488|| T:0.00032599999999999925 || F:0.996 || iteration time: 0.00024628639221191406 || diff : 0.0001036107007201803
492|| T:0.0003286666666666659 || F:0.996 || iteration time: 0.00024771690368652344 || diff : 7.173589517739387e-05
496|| T:0.00033133333333333257 || F:0.996 || iteration time: 0.00024580955505371094 || diff : 3.9862109612043284e-05
500|| T:0.00033399999999999923 || F:0.996 || iteration time: 0.0002491474151611328 || diff : 7.989343991487985e-06
504|| T:0.0003366666666666659 || F:0.996 || iteration time: 0.0002465248107910156 || diff : -2.3882401716912582e-05
508|| T:0.00033933333333333255 || F:0.996 || iteration time: 0.00024771690368652344 || diff : -5.575312754568795e-05
512|| T:0.0003419999999999992 || F:0.996 || iteration time: 0.0002532005310058594 || diff : -8.76228335275897e-05
516|| T:0.00034466666666666586 || F:0.996 || iteration time: 0.0002460479736328125 || diff : -0.0001194915196952584
520|| T:0.0003473333333333325 || F:0.996 || iteration time: 0.00024056434631347656 || diff : -0.00015135918608122356
524|| T:0.0003499999999999992 || F:0.996 || iteration time: 0.0002467632293701172 || diff : -0.00018322583271823678
528|| T:0.00035266666666666584 || F:0.996 || iteration time: 0.00024771690368652344 || diff : -0.0002150914596388276
532|| T:0.0003553333333333325 || F:0.996 || iteration time: 0.0002434253692626953 || diff : -0.00024695606687563654
536|| T:0.00035799999999999916 || F:0.996 || iteration time: 0.0002446174621582031 || diff : -0.0002788196544614152
540|| T:0.0003606666666666658 || F:0.996 || iteration time: 0.00024962425231933594 || diff : -0.0003106822224285821
544|| T:0.0003633333333333325 || F:0.995 || iteration time: 0.00023674964904785156 || diff : 0.000657456229190001
548|| T:0.00036599999999999914 || F:0.995 || iteration time: 0.00024175643920898438 || diff : 0.0006255957003618029
552|| T:0.0003686666666666658 || F:0.995 || iteration time: 0.00023984909057617188 || diff : 0.0005937361910542949
556|| T:0.00037133333333333246 || F:0.995 || iteration time: 0.0002396106719970703 || diff : 0.0005618777012347254
560|| T:0.0003739999999999991 || F:0.995 || iteration time: 0.0002396106719970703 || diff : 0.0005300202308705648
564|| T:0.0003766666666666658 || F:0.995 || iteration time: 0.00024247169494628906 || diff : 0.0004981637799290617
568|| T:0.00037933333333333243 || F:0.995 || iteration time: 0.00024080276489257812 || diff : 0.0004663083483776864
572|| T:0.0003819999999999991 || F:0.995 || iteration time: 0.0002465248107910156 || diff : 0.0004344539361839095
576|| T:0.00038466666666666575 || F:0.995 || iteration time: 0.0002391338348388672 || diff : 0.0004026005433149793
580|| T:0.0003873333333333324 || F:0.995 || iteration time: 0.0002384185791015625 || diff : 0.0003707481697382553
584|| T:0.00038999999999999907 || F:0.995 || iteration time: 0.00024127960205078125 || diff : 0.000338896815421208
588|| T:0.00039266666666666573 || F:0.995 || iteration time: 0.0002455711364746094 || diff : 0.00030704648033119675
592|| T:0.0003953333333333324 || F:0.995 || iteration time: 0.00024008750915527344 || diff : 0.00027519716443558107
596|| T:0.00039799999999999905 || F:0.995 || iteration time: 0.00024080276489257812 || diff : 0.0002433488677018314
600|| T:0.0004006666666666657 || F:0.995 || iteration time: 0.000244140625 || diff : 0.00021150159009719616
604|| T:0.00040333333333333237 || F:0.995 || iteration time: 0.00024127960205078125 || diff : 0.00017965533158914582
608|| T:0.000405999999999999 || F:0.995 || iteration time: 0.000240325927734375 || diff : 0.00014781009214515084
